# Generated from Japanese N2 Grammar
dabia-jlpt::N2 Grammar,b6bcee38-ed7c-5aeb-9b21-eefb0296ea61,あまり,,,N + の / V-普,原因、理由与因果关系 | 因过于…而… / 过度…结果…,,,,,その知らせを聞いた時、驚きの__、声も出なかった。,その知らせを聞いた時、驚きのあまり、声も出なかった。,听到通知的时候，因过于吃惊而说不出话来。,,jlpt_n2_grammar/b6bcee38-ed7c-5aeb-9b21-eefb0296ea61.mp3
dabia-jlpt::N2 Grammar,8707bd9a-3593-5be4-b5bd-676e47100555,おかげで,,,N + の / V/A-连体形,原因、理由与因果关系 | 托…的福 / 幸亏…（积极结果）,,,,,先生のご指導の__、大学院の試験に合格した。,先生のご指導のおかげで、大学院の試験に合格した。,幸亏有老师您的指导，研究生院的考试最终合格了。,,jlpt_n2_grammar/8707bd9a-3593-5be4-b5bd-676e47100555.mp3
dabia-jlpt::N2 Grammar,5159dd13-3670-55db-bd64-77f030ada536,ことから,,,V/A-连体形 / （动词た形一般不用）,原因、理由与因果关系 | 由于…的原因 / （事实、根源引起结果）,,,,,この辺りは火山が多い__、「火山群地帯」と呼ばれている。,この辺りは火山が多いことから、「火山群地帯」と呼ばれている。,这一带因为火山多，所以被称为火山群地带。,,jlpt_n2_grammar/5159dd13-3670-55db-bd64-77f030ada536.mp3
dabia-jlpt::N2 Grammar,da077a6d-5827-5bd7-a2c2-c04c5f9196b1,ことだから,,,N + の / 活用语连体形,原因、理由与因果关系 | 因为是…所以… / （从熟知的人/事物特点进行判断）,,,,,時間に正確な彼女の__、もうすぐ来ますよ。,時間に正確な彼女のことだから、もうすぐ来ますよ。,由于她向来守时，应该马上能到。,,jlpt_n2_grammar/da077a6d-5827-5bd7-a2c2-c04c5f9196b1.mp3
dabia-jlpt::N2 Grammar,44d496f5-53bc-5a4e-95d1-105462eefd76,せいか,,,N + の / V/A-连体形,原因、理由与因果关系 | 因…的缘故 / （多用于不良后果）,,,,,年を取った__、朝早く目が覚めた。,年を取ったせいか、朝早く目が覚めた。,也许是因为年纪大了，早晨很早就醒了。,,jlpt_n2_grammar/44d496f5-53bc-5a4e-95d1-105462eefd76.mp3
dabia-jlpt::N2 Grammar,c619f4a9-69a5-59d1-86a6-45e6260be61b,ばかりに,,,V-た形,原因、理由与因果关系 | 只是由于…就… / （引起极其消极的遗憾结果）,,,,,ちょっと油断した__事故を起こしてしまった。,ちょっと油断したばかりに事故を起こしてしまった。,只是由于稍微的疏忽，就发生了事故。,,jlpt_n2_grammar/c619f4a9-69a5-59d1-86a6-45e6260be61b.mp3
dabia-jlpt::N2 Grammar,fdc9118f-20b9-5502-bce6-dc590ebad427,ものだから,,,V/A/N-连体形,原因、理由与因果关系 | 因为…所以… / （多用于主观辩解、找借口）,,,,,今月から雨が降っている__、出かける気がしない。,今月から雨が降っているものだから、出かける気がしない。,因为这个月开始一直在下雨，所以不想出去。,,jlpt_n2_grammar/fdc9118f-20b9-5502-bce6-dc590ebad427.mp3
dabia-jlpt::N2 Grammar,8f7a9cf1-5d95-5825-96de-8ad67844c10b,んだもん,,,V/A-过去式/普通形,原因、理由与因果关系 | 那是因为…（的缘故） / （口语，女性/小孩常用辩解）,,,,,「今日は出かけたくないなあ。」「雨が降っている__」,「今日は出かけたくないなあ。」「雨が降っているんだもん」,“今天不想出去啊。”“因为在下雨嘛。”,,jlpt_n2_grammar/8f7a9cf1-5d95-5825-96de-8ad67844c10b.mp3
dabia-jlpt::N2 Grammar,799a1702-2907-519d-8907-7904961e1955,うちに,,,V/A/N-连体形,时间关系、先后与同步发生 | 趁（不）…赶紧干… / 在…期间同时发生变化,,,,,若い__、いろいろなことを経験させたほうがいい。,若いうちに、いろいろなことを経験させたほうがいい。,趁年轻，经历各种各样的事情为好。,,jlpt_n2_grammar/799a1702-2907-519d-8907-7904961e1955.mp3
dabia-jlpt::N2 Grammar,81086e9d-fd49-5a62-936a-9c16994cc417,かと思うと,,,V-た形,时间关系、先后与同步发生 | 刚认为是…紧接着就… / （前后常有反差）,,,,,やっと晴れた__、また雨が降り出した。,やっと晴れたかと思うと、また雨が降り出した。,刚认为终于晴了，结果又下雨了。,,jlpt_n2_grammar/81086e9d-fd49-5a62-936a-9c16994cc417.mp3
